,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС_тыс_руб,ВРП_млн_руб
0,Белгородская область,2000,45.0,116202.6,42074.5
1,Брянская область,2000,100.0,54949.8,24650.5
2,Владимирская область,2000,182.0,24719.4,33017.7
3,Воронежская область,2000,190.0,127056.8,49523.9
4,Ивановская область,2000,168.0,62264.0,16900.0
5,Калужская область,2000,109.0,48866.2,23903.3
6,Костромская область,2000,64.0,67455.0,16662.2
7,Курская область,2000,39.0,50606.0,30167.7
8,Липецкая область,2000,149.0,225454.0,48067.7
9,Московская область,2000,638.0,162972.0,176693.6
10,Орловская область,2000,85.0,41979.6,22160.8
11,Рязанская область,2000,26.0,35480.0,27956.5
12,Смоленская область,2000,109.0,22602.1,28140.6
13,Тамбовская область,2000,67.0,54458.0,23387.3
14,Тверская область,2000,102.0,77954.0,35341.1
15,Тульская область,2000,249.0,85645.0,42061.3
16,Ярославская область,2000,306.0,1164418.0,41756.2
17,г. Москва,2000,2115.0,4546927.6,1159034.0
18,Республика Карелия,2000,205.0,370468.4,28214.6
19,Республика Коми,2000,146.0,2069114.0,59473.1
20,Ненецкий автономный округ,2000,1.12,56640.0,11924.0
21,Архангельская область,2000,540.0,1733357.7999999998,49882.9
22,Вологодская область,2000,241.0,327700.4,69195.5
23,Калининградская область,2000,152.0,25998.0,23290.3
24,Ленинградская область,2000,424.0,587950.8,56001.9
25,Мурманская область,2000,429.0,325606.0,55135.0
26,Новгородская область,2000,97.0,32583.2,20965.5
27,Псковская область,2000,73.0,79851.2,16178.9
28,г. Санкт-Петербург,2000,1271.0,490435.39999999997,188243.0
29,Республика Адыгея (Адыгея),2000,50.0,2400.4,5519.6
30,Республика Калмыкия,2000,28.0,51089.8,6212.6
31,Краснодарский край,2000,1076.0,265715.0,137125.3
32,Астраханская область,2000,84.0,44651.00000000001,28115.7
33,Волгоградская область,2000,217.0,4317259.0,63767.1
34,Ростовская область,2000,298.0,1065576.4,88955.0
35,Республика Дагестан,2000,280.0,2793.4,20921.1
36,Республика Ингушетия,2000,1.42,0.0,2618.5
37,Кабардино-Балкарская Республика,2000,49.0,24530.0,14081.3
38,Карачаево-Черкесская Республика,2000,61.0,194.0,5461.5
39,Республика Северная Осетия — Алания,2000,24.0,41645.4,8363.2
41,Ставропольский край,2000,221.0,146687.2,53732.4
42,Республика Башкортостан,2000,457.0,2007086.4,145125.0
43,Республика Марий Эл,2000,70.0,24243.2,11207.6
44,Республика Мордовия,2000,60.0,59034.0,17553.4
45,Республика Татарстан (Татарстан),2000,572.0,633815.2,186154.4
46,Удмуртская Республика,2000,27.0,197590.2,53307.4
47,Чувашская Республика — Чувашия,2000,132.0,73710.8,22995.1
48,Пермский край,2000,401.0,1390548.0,124142.2
49,Кировская область,2000,179.0,92254.6,35795.4
50,Нижегородская область,2000,580.0,661879.3,105055.9
51,Оренбургская область,2000,153.0,494771.6,76343.3
52,Пензенская область,2000,144.0,15956.0,25218.7
53,Самарская область,2000,645.0,695292.1,140407.4
54,Саратовская область,2000,289.0,227610.0,63068.2
55,Ульяновская область,2000,149.0,123614.4,30415.0
56,Курганская область,2000,62.0,95468.2,18705.2
57,Свердловская область,2000,826.0,2146950.6,156077.0
58,Ханты-Мансийский автономный округ — Югра,2000,33.0,5429611.8,403822.2
59,Ямало-Ненецкий автономный округ,2000,28.0,1089544.5,117100.8
60,Тюменская область,2000,83.0,6680668.699999999,49867.19999999994
61,Челябинская область,2000,741.0,1437371.1,120561.0
62,Республика Алтай,2000,0.55,16.6,2737.5
63,Республика Тыва,2000,13.0,4200.0,3594.1
64,Республика Хакасия,2000,56.0,83557.8,17418.1
65,Алтайский край,2000,31.0,176660.0,46736.8
66,Красноярский край,2000,617.0,2249125.0,214662.7
67,Иркутская область,2000,893.0,533602.0,103013.8
68,Кемеровская область — Кузбасс,2000,787.0,676350.5,88728.1
