,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_норм_%,ВРП_на_душу_руб,Индексы_производства_продукции_СХ_%,Доля_городского_населения_%,Использование_свеж_воды_млн_м3,Индекс_промыш_производства_%,Числ_насел
0,Алтайский край,2000,31.0,0.3779890792694407,17660.5,122.0,52.8,569.0,109.2,2641.1
1,Алтайский край,2001,34.0,0.1804075377014408,23509.0,104.5,53.1,599.0,109.4,2621.1
2,Алтайский край,2002,36.0,0.0922834076988102,27991.2,103.1,53.2,563.0,100.1,2602.6
3,Алтайский край,2003,36.0,0.0564771061146153,34295.8,100.8,53.5,516.0,105.5,2572.0
4,Алтайский край,2004,36.0,0.0333244804750937,44934.9,99.5,53.7,488.0,102.6,2539.4
5,Алтайский край,2005,34.0,0.1138596056789774,53812.4,91.1,54.0,451.0,96.8,2503.5
6,Алтайский край,2006,27.0,0.0763590231890478,69852.0,109.4,54.2,455.0,110.3,2473.0
7,Алтайский край,2007,26.0,0.1043109024106808,90759.9,108.6,54.3,471.0,113.5,2453.5
8,Алтайский край,2008,22.0,0.0815182667285152,106019.5,93.2,54.5,481.0,103.3,2438.9
9,Алтайский край,2009,17.0,0.1158733391739043,109088.7,118.3,54.3,461.0,92.0,2430.7
10,Алтайский край,2010,15.0,0.0620804111710537,124955.8,93.5,54.8,340.0,122.0,2417.3
11,Алтайский край,2011,12.0,0.037866082456285,137975.9,101.2,55.2,408.0,104.5,2396.8
12,Алтайский край,2012,8.04,0.2302742691503846,154560.6,86.4,55.6,406.93,104.4,2378.0
13,Алтайский край,2013,8.07,0.3710203760877825,175666.0,121.9,55.9,404.84,101.3,2359.5
14,Алтайский край,2014,10.73,0.1315835612359699,189679.2,85.8,56.2,410.61,98.9,2343.4
15,Алтайский край,2015,16.24,0.1473226354484587,209023.2,106.5,56.5,386.73,100.1,2325.0
16,Алтайский край,2016,18.05,0.189639210257672,230047.1,112.0,56.7,376.43,102.5,2303.6
17,Алтайский край,2017,17.34,0.0324881029446014,238056.6,101.8,56.9,364.05,103.7,2277.7
18,Алтайский край,2018,17.33,0.258735761948665,256081.7,103.3,57.2,349.42,100.8,2250.1
19,Алтайский край,2019,32.27,0.1173972106170841,280785.0,98.8,57.6,344.55,101.9,2224.1
20,Алтайский край,2020,13.18,0.1044039322469182,300706.5,96.7,57.9,353.27,101.1,2193.0
21,Алтайский край,2021,13.51,0.0598764752830405,400038.7,118.4,58.2,362.59,101.7,2155.0
22,Алтайский край,2022,13.3,0.0609092595667599,440933.3,104.1,58.3,374.84,103.2,2130.9
23,Алтайский край,2023,13.0,0.2194210134490431,482500.0,93.1,58.5,425.0,107.1,2115.3
24,Амурская область,2000,94.0,0.3132182160880404,28317.2,106.2,66.6,115.0,105.4,923.0
25,Амурская область,2001,103.0,0.2695069239593576,42578.3,106.7,65.9,116.0,92.2,911.4
26,Амурская область,2002,95.0,0.5280428719855635,50449.6,109.9,65.9,114.0,105.3,901.0
27,Амурская область,2003,91.0,0.5351664194857509,59480.3,70.4,66.2,109.0,105.8,887.8
28,Амурская область,2004,99.0,0.2838030076170968,72937.0,112.7,66.5,107.0,100.2,874.0
29,Амурская область,2005,100.0,0.1648530077594417,88597.1,93.1,66.4,104.0,95.7,861.0
30,Амурская область,2006,90.0,0.4062407654149871,111116.2,113.0,66.6,100.0,104.7,850.5
31,Амурская область,2007,84.0,0.7961653955039854,131887.8,117.8,66.6,98.0,102.6,844.3
32,Амурская область,2008,86.0,0.4913019320678879,156329.6,104.9,66.6,93.0,111.4,838.9
33,Амурская область,2009,83.0,0.8398628626787172,180572.3,109.4,66.5,86.0,111.4,834.9
34,Амурская область,2010,82.0,0.1445126073369687,214827.2,102.8,66.9,87.0,104.3,828.7
35,Амурская область,2011,79.0,0.7144839635193524,273332.2,121.0,67.0,83.0,120.0,820.6
36,Амурская область,2012,78.02,1.7106218595675546,280484.7,92.2,67.2,80.58,108.6,815.2
37,Амурская область,2013,76.97,1.4212881862393565,259501.7,70.9,67.3,79.17,106.9,808.7
38,Амурская область,2014,44.62,0.585892016048058,287327.6,168.9,67.5,74.9,98.3,806.5
39,Амурская область,2015,72.77,0.582285554422735,344986.8,101.0,67.5,73.77,92.5,801.5
40,Амурская область,2016,73.77,0.5707721212243431,372300.0,97.9,67.5,70.67,92.1,796.8
41,Амурская область,2017,67.38,1.0704737266069704,376452.8,114.9,67.5,72.06,105.3,792.7
42,Амурская область,2018,66.82,1.0959267354631437,423176.6,92.1,67.7,70.97,97.6,786.6
43,Амурская область,2019,65.05,0.6152836630965489,504185.5,87.9,67.9,71.87,109.9,782.7
