Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_норм_%
Алтайский край,2000,31.0,0.3779890792694407
Алтайский край,2001,34.0,0.1804075377014408
Алтайский край,2002,36.0,0.0922834076988102
Алтайский край,2003,36.0,0.0564771061146153
Алтайский край,2004,36.0,0.0333244804750937
Алтайский край,2005,34.0,0.1138596056789774
Алтайский край,2006,27.0,0.0763590231890478
Алтайский край,2007,26.0,0.1043109024106808
Алтайский край,2008,22.0,0.0815182667285152
Алтайский край,2009,17.0,0.1158733391739043
Алтайский край,2010,15.0,0.0620804111710537
Алтайский край,2011,12.0,0.037866082456285
Алтайский край,2012,8.04,0.2302742691503846
Алтайский край,2013,8.07,0.3710203760877825
Алтайский край,2014,10.73,0.1315835612359699
Алтайский край,2015,16.24,0.1473226354484587
Алтайский край,2016,18.05,0.189639210257672
Алтайский край,2017,17.34,0.0324881029446014
Алтайский край,2018,17.33,0.258735761948665
Алтайский край,2019,32.27,0.1173972106170841
Алтайский край,2020,13.18,0.1044039322469182
Алтайский край,2021,13.51,0.0598764752830405
Алтайский край,2022,13.3,0.0609092595667599
Алтайский край,2023,13.0,0.2194210134490431
Амурская область,2000,94.0,0.3132182160880404
Амурская область,2001,103.0,0.2695069239593576
Амурская область,2002,95.0,0.5280428719855635
Амурская область,2003,91.0,0.5351664194857509
Амурская область,2004,99.0,0.2838030076170968
Амурская область,2005,100.0,0.1648530077594417
Амурская область,2006,90.0,0.4062407654149871
Амурская область,2007,84.0,0.7961653955039854
Амурская область,2008,86.0,0.4913019320678879
Амурская область,2009,83.0,0.8398628626787172
Амурская область,2010,82.0,0.1445126073369687
Амурская область,2011,79.0,0.7144839635193524
Амурская область,2012,78.02,1.7106218595675546
Амурская область,2013,76.97,1.4212881862393565
Амурская область,2014,44.62,0.585892016048058
Амурская область,2015,72.77,0.582285554422735
Амурская область,2016,73.77,0.5707721212243431
Амурская область,2017,67.38,1.0704737266069704
Амурская область,2018,66.82,1.0959267354631437
Амурская область,2019,65.05,0.6152836630965489
Амурская область,2020,65.81,1.622862897616941
Амурская область,2021,66.51,1.3716704804824196
Амурская область,2022,62.76,0.5810103151958317
Амурская область,2023,60.0,0.3632857715652
Архангельская область,2000,540.0,3.4748537073826897
Архангельская область,2001,537.0,3.383954490966074
Архангельская область,2002,513.0,2.439888718917784
Архангельская область,2003,477.0,0.6739745053585888
Архангельская область,2004,454.0,0.8653819262366719
Архангельская область,2005,464.0,3.0947597298938256
Архангельская область,2006,464.0,6.360303676985398
Архангельская область,2007,475.0,1.1063665387060406
Архангельская область,2008,475.0,1.413140037169753
Архангельская область,2009,413.0,0.8788487357900131
Архангельская область,2010,415.0,0.5410313540626728
Архангельская область,2011,375.0,0.6662877646057245
Архангельская область,2012,364.27,0.2571541623785128
Архангельская область,2013,341.03000000000003,1.178798249995641
Архангельская область,2014,335.86,0.5676242073404735
Архангельская область,2015,329.79,0.7241126319148394
Архангельская область,2016,328.66,0.7866972513658078
Архангельская область,2017,325.0,1.8398127258238288
Архангельская область,2018,322.78,0.4642245179689781
Архангельская область,2019,322.87,0.3713506891358725
Архангельская область,2020,320.63000000000005,2.5122939583742707
Архангельская область,2021,292.68,2.7947193791985683
Архангельская область,2022,277.51,0.4139685823226184
Архангельская область,2023,247.0,0.3002124766409625
Астраханская область,2000,84.0,0.1588116248217188
Астраханская область,2001,83.0,2.4575838980241245
Астраханская область,2002,78.0,0.3960639006315419
Астраханская область,2003,71.0,0.6183364324375541
Астраханская область,2004,71.0,0.5053331899158716
Астраханская область,2005,68.0,0.3468876733269069
Астраханская область,2006,73.0,0.6808150662479249
Астраханская область,2007,72.0,4.87199379827659
Астраханская область,2008,73.0,3.0706368253008662
Астраханская область,2009,71.0,1.5750032361689117
Астраханская область,2010,69.0,4.490736344010027
Астраханская область,2011,71.0,2.610222887022453
Астраханская область,2012,55.67,11.07260043194896
Астраханская область,2013,52.4,4.55744522704132
Астраханская область,2014,50.15,0.362838255894908
Астраханская область,2015,40.74,0.6130806725348507
Астраханская область,2016,51.16,0.2330085751022971
Астраханская область,2017,48.54,0.1660304562403639
Астраханская область,2018,49.09,0.0606667702560383
Астраханская область,2019,36.39,0.3929591207342103
Астраханская область,2020,30.26,0.1381389223619176
Астраханская область,2021,34.13,0.0549019495590795
Астраханская область,2022,35.11,0.1053330637880202
Астраханская область,2023,85.0,0.0246845162316484
Белгородская область,2000,45.0,0.2761829611760092
Белгородская область,2001,13.0,0.3306096296088647
Белгородская область,2002,6.0,0.2003608719897956
Белгородская область,2003,10.0,0.1062422341873261
Белгородская область,2004,11.0,0.1524168052771933
Белгородская область,2005,11.0,0.42699385741421
Белгородская область,2006,11.0,0.4336370767939586
Белгородская область,2007,8.0,0.3123056807360599
Белгородская область,2008,11.0,0.5991368658515509
Белгородская область,2009,49.0,0.2892783295815641
Белгородская область,2010,77.0,0.3735497465366875
Белгородская область,2011,72.0,0.6567547088668513
Белгородская область,2012,70.88,2.162596761385342
Белгородская область,2013,71.1,1.0654843776801104
Белгородская область,2014,66.83,0.5574805580384771
Белгородская область,2015,61.46,1.0299366205572302
Белгородская область,2016,73.64,0.3117679085503114
Белгородская область,2017,70.54,0.3345196026116114
Белгородская область,2018,70.46,0.5549357891236915
Белгородская область,2019,68.84,0.2486697779152987
Белгородская область,2020,65.9,0.4672974636602556
Белгородская область,2021,60.56,0.4231133493376597
Белгородская область,2022,58.6,0.6692958976157243
Белгородская область,2023,58.0,1.2979801311889312
Брянская область,2000,100.0,0.2229155595221192
Брянская область,2001,99.0,0.1570027532106953
Брянская область,2002,96.0,0.0231978830259457
Брянская область,2003,94.0,0.0826447415692798
Брянская область,2004,92.0,0.044279400981111
Брянская область,2005,89.0,0.0138636694191083
Брянская область,2006,96.0,0.0050158099107921
Брянская область,2007,94.0,
Брянская область,2008,85.0,0.0191322881501401
Брянская область,2009,83.0,
Брянская область,2010,78.0,
Брянская область,2011,75.0,
Брянская область,2012,70.83,0.0374498246121578
Брянская область,2013,67.78,0.1286953970518827
Брянская область,2014,61.56,0.0029519319189329
Брянская область,2015,57.6,
Брянская область,2016,57.92,
Брянская область,2017,55.12,
Брянская область,2018,53.78,
Брянская область,2019,50.75,
Брянская область,2020,49.69,
Брянская область,2021,51.4,
Брянская область,2022,52.06,
Брянская область,2023,53.0,0.0090978278447597
Владимирская область,2000,182.0,0.0748671167283002
Владимирская область,2001,182.0,0.0445647575542953
Владимирская область,2002,185.0,0.0837718105079636
Владимирская область,2003,174.0,0.0735302967068164
Владимирская область,2004,169.0,0.0385853086636031
Владимирская область,2005,155.0,0.039597914567199
Владимирская область,2006,147.0,0.0177026755180044
Владимирская область,2007,141.0,0.1387589235185425
Владимирская область,2008,140.0,0.0341194225400052
Владимирская область,2009,129.0,0.0343210748200184
Владимирская область,2010,129.0,0.0534994785530469
Владимирская область,2011,126.0,0.1135713372426428
Владимирская область,2012,123.74,0.208265126813431
Владимирская область,2013,120.02,0.193181025132288
Владимирская область,2014,110.49,0.1647796376440952
Владимирская область,2015,108.55,0.1468515956505645
Владимирская область,2016,108.81,0.083821920436529
Владимирская область,2017,104.52,0.1018200988242282
Владимирская область,2018,98.55,0.0723641422434284
Владимирская область,2019,94.42,0.2783869978602911
Владимирская область,2020,95.02,0.0619319665213262
Владимирская область,2021,94.26,0.0487249030847475
Владимирская область,2022,91.32,0.018530144637269
Владимирская область,2023,90.0,0.0069427880373348
Волгоградская область,2000,217.0,6.770354932245624
Волгоградская область,2001,212.0,2.665225513358104
Волгоградская область,2002,206.0,0.3616903006674257
Волгоградская область,2003,201.0,0.235336512670441
Волгоградская область,2004,208.0,0.523656242123603
Волгоградская область,2005,204.0,0.4084539753050943
Волгоградская область,2006,217.0,0.7317312775662353
Волгоградская область,2007,203.0,0.4906961757475432
Волгоградская область,2008,218.0,0.537572012954832
Волгоградская область,2009,200.0,0.2077839170595657
Волгоградская область,2010,186.0,0.304433694593236
Волгоградская область,2011,150.0,0.3475834489991116
Волгоградская область,2012,144.43,0.2169147990756516
Волгоградская область,2013,141.2,0.537252075074382
Волгоградская область,2014,122.62,2.409746807982448
Волгоградская область,2015,104.21,2.6761100562084548
Волгоградская область,2016,104.7,1.454376034491843
Волгоградская область,2017,89.2,0.4604281236515213
Волгоградская область,2018,84.29,0.6348681526650289
Волгоградская область,2019,85.25,0.9163016042949524
Волгоградская область,2020,91.69,1.1568055565073283
Волгоградская область,2021,89.21,0.2721868821883043
Волгоградская область,2022,85.92,0.3309808079148952
Волгоградская область,2023,203.0,0.3478191648707935
Вологодская область,2000,241.0,0.4735862881256729
Вологодская область,2001,240.0,0.3507465766301415
Вологодская область,2002,231.0,0.9468283293221142
Вологодская область,2003,205.0,2.482734818856549
Вологодская область,2004,195.0,2.5680703637285243
Вологодская область,2005,172.0,3.944767668164695
Вологодская область,2006,167.0,1.1877137772161126
Вологодская область,2007,156.0,1.1302317821056702
Вологодская область,2008,146.0,1.072161578049017
Вологодская область,2009,132.0,1.32878501983862
Вологодская область,2010,152.0,0.3481948705325212
Вологодская область,2011,157.0,1.407581526979313
Вологодская область,2012,154.42,1.4807148950734228
Вологодская область,2013,147.9,3.696805991203474
Вологодская область,2014,137.38,3.2666484225554133
Вологодская область,2015,145.08,1.0235010325897431
Вологодская область,2016,147.1,1.1402726227845807
Вологодская область,2017,157.41,1.3600624125378644
Вологодская область,2018,128.84,0.4657412023142456
Вологодская область,2019,78.45,0.7705186567724388
Вологодская область,2020,67.44,1.8630147055644195
Вологодская область,2021,67.31,1.1359403563480246
Вологодская область,2022,64.71,0.8199047644154396
