,Регион,Год,V_сточ_вод_млн_м3,ВРП_на_душу_руб,Индексы_производства_продукции_СХ_%,Доля_городского_населения_%,Использование_свеж_воды_млн_м3,Индекс_промыш_производства_%,Коэф_смерт_насел,Числ_насел,Оборот_вод_млн_м3
0,Алтайский край,2000,31.0,17660.5,122.0,52.8,569.0,109.2,14.3,2641.1,1216.0
1,Алтайский край,2001,34.0,23509.0,104.5,53.1,599.0,109.4,14.7,2621.1,998.0
2,Алтайский край,2002,36.0,27991.2,103.1,53.2,563.0,100.1,15.7,2602.6,983.0
3,Алтайский край,2003,36.0,34295.8,100.8,53.5,516.0,105.5,15.9,2572.0,984.0
4,Алтайский край,2004,36.0,44934.9,99.5,53.7,488.0,102.6,15.9,2539.4,969.0
5,Алтайский край,2005,34.0,53812.4,91.1,54.0,451.0,96.8,16.9,2503.5,964.0
6,Алтайский край,2006,27.0,69852.0,109.4,54.2,455.0,110.3,15.5,2473.0,985.0
7,Алтайский край,2007,26.0,90759.9,108.6,54.3,471.0,113.5,15.2,2453.5,1001.0
8,Алтайский край,2008,22.0,106019.5,93.2,54.5,481.0,103.3,15.3,2438.9,1020.0
9,Алтайский край,2009,17.0,109088.7,118.3,54.3,461.0,92.0,14.7,2430.7,998.0
10,Алтайский край,2010,15.0,124955.8,93.5,54.8,340.0,122.0,15,2417.3,859.0
11,Алтайский край,2011,12.0,137975.9,101.2,55.2,408.0,104.5,14.6,2396.8,860.0
12,Алтайский край,2012,8.04,154560.6,86.4,55.6,406.93,104.4,14.7,2378.0,860.02
13,Алтайский край,2013,8.07,175666.0,121.9,55.9,404.84,101.3,14.3,2359.5,770.38
14,Алтайский край,2014,10.73,189679.2,85.8,56.2,410.61,98.9,14.4,2343.4,827.47
15,Алтайский край,2015,16.24,209023.2,106.5,56.5,386.73,100.1,14.4,2325.0,908.24
16,Алтайский край,2016,18.05,230047.1,112.0,56.7,376.43,102.5,14.4,2303.6,868.36
17,Алтайский край,2017,17.34,238056.6,101.8,56.9,364.05,103.7,14.4,2277.7,814.78
18,Алтайский край,2018,17.33,256081.7,103.3,57.2,349.42,100.8,14.7,2250.1,816.65
19,Алтайский край,2019,32.27,280785.0,98.8,57.6,344.55,101.9,14.6,2224.1,812.84
