Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_норм_%,ВРП_на_душу_руб,Индексы_производства_продукции_СХ_%,Доля_городского_населения_%,Использование_свеж_воды_млн_м3,Индекс_промыш_производства_%
Алтайский край,2000,31.0,0.3779890792694407,17660.5,122.0,52.8,569.0,109.2
Алтайский край,2001,34.0,0.1804075377014408,23509.0,104.5,53.1,599.0,109.4
Алтайский край,2002,36.0,0.0922834076988102,27991.2,103.1,53.2,563.0,100.1
Алтайский край,2003,36.0,0.0564771061146153,34295.8,100.8,53.5,516.0,105.5
Алтайский край,2004,36.0,0.0333244804750937,44934.9,99.5,53.7,488.0,102.6
Алтайский край,2005,34.0,0.1138596056789774,53812.4,91.1,54.0,451.0,96.8
Алтайский край,2006,27.0,0.0763590231890478,69852.0,109.4,54.2,455.0,110.3
Алтайский край,2007,26.0,0.1043109024106808,90759.9,108.6,54.3,471.0,113.5
Алтайский край,2008,22.0,0.0815182667285152,106019.5,93.2,54.5,481.0,103.3
Алтайский край,2009,17.0,0.1158733391739043,109088.7,118.3,54.3,461.0,92.0
Алтайский край,2010,15.0,0.0620804111710537,124955.8,93.5,54.8,340.0,122.0
Алтайский край,2011,12.0,0.037866082456285,137975.9,101.2,55.2,408.0,104.5
Алтайский край,2012,8.04,0.2302742691503846,154560.6,86.4,55.6,406.93,104.4
Алтайский край,2013,8.07,0.3710203760877825,175666.0,121.9,55.9,404.84,101.3
Алтайский край,2014,10.73,0.1315835612359699,189679.2,85.8,56.2,410.61,98.9
Алтайский край,2015,16.24,0.1473226354484587,209023.2,106.5,56.5,386.73,100.1
Алтайский край,2016,18.05,0.189639210257672,230047.1,112.0,56.7,376.43,102.5
Алтайский край,2017,17.34,0.0324881029446014,238056.6,101.8,56.9,364.05,103.7
Алтайский край,2018,17.33,0.258735761948665,256081.7,103.3,57.2,349.42,100.8
Алтайский край,2019,32.27,0.1173972106170841,280785.0,98.8,57.6,344.55,101.9
Алтайский край,2020,13.18,0.1044039322469182,300706.5,96.7,57.9,353.27,101.1
Алтайский край,2021,13.51,0.0598764752830405,400038.7,118.4,58.2,362.59,101.7
Алтайский край,2022,13.3,0.0609092595667599,440933.3,104.1,58.3,374.84,103.2
Алтайский край,2023,13.0,0.2194210134490431,482.5,93.1,58.5,425.0,107.1
Амурская область,2000,94.0,0.3132182160880404,28317.2,106.2,66.6,115.0,105.4
Амурская область,2001,103.0,0.2695069239593576,42578.3,106.7,65.9,116.0,92.2
Амурская область,2002,95.0,0.5280428719855635,50449.6,109.9,65.9,114.0,105.3
Амурская область,2003,91.0,0.5351664194857509,59480.3,70.4,66.2,109.0,105.8
Амурская область,2004,99.0,0.2838030076170968,72937.0,112.7,66.5,107.0,100.2
Амурская область,2005,100.0,0.1648530077594417,88597.1,93.1,66.4,104.0,95.7
Амурская область,2006,90.0,0.4062407654149871,111116.2,113.0,66.6,100.0,104.7
