,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС,ВРП
0,Алтайский край,2000,31.0,176660.0,46736.8
1,Алтайский край,2001,34.0,111590.0,61854.4
2,Алтайский край,2002,36.0,67466.0,73107.4
3,Алтайский край,2003,36.0,50114.0,88733.3
4,Алтайский край,2004,36.0,38270.0,114840.5
5,Алтайский край,2005,34.0,154492.0,135686.4
6,Алтайский край,2006,27.0,132720.0,173810.5
7,Алтайский край,2007,26.0,233201.0,223563.4
8,Алтайский край,2008,22.0,211412.0,259343.1
9,Алтайский край,2009,17.0,307775.0,265613.3
10,Алтайский край,2010,15.0,188042.0,302900.7
11,Алтайский край,2011,12.0,125760.0,332117.8
12,Алтайский край,2012,8.04,849701.0,368995.2
13,Алтайский край,2013,8.07,1543854.0,416110.3
14,Алтайский край,2014,10.73,586894.0,446023.8
15,Алтайский край,2015,16.24,718792.0,487903.3
16,Алтайский край,2016,18.05,1009642.0,532401.5
17,Алтайский край,2017,17.34,177158.59999999998,545303.0
18,Алтайский край,2018,17.33,1499996.0,579740.5
19,Алтайский край,2019,32.27,737426.0,628146.1
20,Алтайский край,2020,13.18,693377.0,664129.2
21,Алтайский край,2021,13.51,520729.0,869672.1
22,Алтайский край,2022,13.3,575528.0,944894.1
23,Алтайский край,2023,13.0,2247651.0,1024355444.3
24,Амурская область,2000,94.0,82424.0,26315.2
25,Амурская область,2001,103.0,105250.0,39052.8
26,Амурская область,2002,95.0,241408.0,45717.5
27,Амурская область,2003,91.0,284708.0,53199.9
28,Амурская область,2004,99.0,182344.0,64250.2
29,Амурская область,2005,100.0,126708.0,76861.2
30,Амурская область,2006,90.0,386298.0,95090.9
31,Амурская область,2007,84.0,889804.0,111761.2
32,Амурская область,2008,86.0,646375.0,131563.7
33,Амурская область,2009,83.0,1269189.0,151118.6
34,Амурская область,2010,82.0,258229.0,178689.6
35,Амурская область,2011,79.0,1610459.0,225401.7
36,Амурская область,2012,78.02,3924288.0,229407.1
37,Амурская область,2013,76.97,2994667.0,210700.9
38,Амурская область,2014,44.62,1359580.0,232053.0
39,Амурская область,2015,72.77,1615146.0,277380.4
40,Амурская область,2016,73.77,1698224.0,297531.0
41,Амурская область,2017,67.38,3202654.0,299181.0
42,Амурская область,2018,66.82,3662197.0,334164.4
43,Амурская область,2019,65.05,2434168.0,395617.2
44,Амурская область,2020,65.81,7291807.0,449317.5
45,Амурская область,2021,66.51,7520455.0,548269.8
46,Амурская область,2022,62.76,3508357.0,603837.3
47,Амурская область,2023,60.0,2883951.0,793851883.1
48,Архангельская область,2000,540.0,1733357.7999999998,49882.9
49,Архангельская область,2001,537.0,1874413.0,55391.2
