Регион,Год,Заболеваемость_инфекции_на_1000,Коэффициент_смертности_населения,Численность_населения,Оборотная_вода_млн_м3
Белгородская область,2004,41.3,16.2,1511.7,1610.0
Брянская область,2004,33.8,19.1,1344.1,63.0
Владимирская область,2004,46.5,20.1,1497.6,339.0
Воронежская область,2004,26.1,18.5,2364.9,2419.0
Ивановская область,2004,31.6,21.6,1116.7,223.0
Калужская область,2004,34.6,18.6,1027.6,144.0
Костромская область,2004,35.6,21.3,712.0,185.0
Курская область,2004,40.0,19.5,1195.8,5827.0
Липецкая область,2004,31.7,18.2,1198.6,2052.0
Московская область,2004,29.4,17.3,6736.7,3582.0
Орловская область,2004,28.7,18.8,835.2,356.0
Рязанская область,2004,48.2,20.1,1199.4,2261.0
Смоленская область,2004,45.1,21.1,1032.3,4493.0
Тамбовская область,2004,27.0,19,1150.8,255.0
Тверская область,2004,40.1,23.1,1432.6,2494.0
Тульская область,2004,31.9,21.6,1631.8,2684.0
Ярославская область,2004,41.1,20.1,1329.8,587.0
г. Москва,2004,32.3,12.3,10726.4,5671.0
Республика Карелия,2004,57.3,18.8,689.6,930.0
Республика Коми,2004,59.1,15.3,982.9,1373.0
Архангельская область,2004,54.5,17.6,1299.2,824.0
Ненецкий автономный округ,2004,65.3,12.4,41.9,1.87
Вологодская область,2004,41.2,19.1,1245.8,3650.0
Калининградская область,2004,45.8,18.2,942.1,180.0
Ленинградская область,2004,29.1,20,1681.5,1379.0
Мурманская область,2004,45.9,13.5,856.9,1038.0
Новгородская область,2004,32.5,22.4,674.5,564.0
Псковская область,2004,25.1,24.2,734.5,12.0
г. Санкт-Петербург,2004,47.7,16,4686.5,761.0
Республика Адыгея (Адыгея),2004,31.6,15,443.3,30.0
Республика Калмыкия,2004,32.1,10.9,293.2,1.03
Краснодарский край,2004,28.8,15.3,5118.9,1078.0
Астраханская область,2004,35.6,14.9,1006.5,308.0
Волгоградская область,2004,40.4,15.4,2656.2,1760.0
Ростовская область,2004,27.2,15.8,4352.7,2095.0
Республика Дагестан,2004,44.6,6,2652.7,24.0
Республика Ингушетия,2004,34.4,4,433.7,26.0
Кабардино-Балкарская Республика,2004,11.1,9.8,877.3,20.0
Карачаево-Черкесская Республика,2004,36.2,11.3,450.2,67.0
Республика Северная Осетия — Алания,2004,23.4,12.3,706.4,66.0
Чеченская Республика,2004,38.3,5.6,1133.2,0.0
Ставропольский край,2004,22.4,14.2,2741.1,962.0
Республика Башкортостан,2004,33.3,14.1,4081.3,4994.0
Республика Марий Эл,2004,45.8,16.8,718.3,156.0
Республика Мордовия,2004,39.4,16.9,871.8,272.0
Республика Татарстан (Татарстан),2004,33.9,13.6,3768.2,4987.0
Удмуртская Республика,2004,54.6,15.4,1554.3,386.0
Чувашская Республика — Чувашия,2004,41.5,14.9,1291.0,456.0
Пермский край,2004,51.9,17.7,2751.6,1941.0
Кировская область,2004,40.8,19,1445.3,1145.0
Нижегородская область,2004,29.1,19.8,3447.9,1639.0
Оренбургская область,2004,38.8,15.1,2122.5,1805.0
Пензенская область,2004,34.8,17.9,1431.0,77.0
Самарская область,2004,41.8,16.1,3225.3,4077.0
Саратовская область,2004,31.7,16.9,2615.6,7086.0
Ульяновская область,2004,56.4,16.8,1354.6,904.0
Курганская область,2004,38.1,17.8,981.0,364.0
Свердловская область,2004,39.3,16.7,4394.1,12290.0
Тюменская область,2004,50.1,9.8,3288.3,9131.0
Ханты-Мансийский автономный округ — Югра,2004,56.2,6.7,1462.2,7961.0
Ямало-Ненецкий автономный округ,2004,59.6,5.8,514.6,80.0
Челябинская область,2004,46.9,16.3,3541.8,8320.0
Республика Алтай,2004,66.4,14.9,202.3,11.0
Республика Тыва,2004,57.9,13.4,304.1,31.0
Республика Хакасия,2004,57.6,16.2,538.0,318.0
Алтайский край,2004,38.8,15.9,2539.4,969.0
Красноярский край,2004,46.3,15.2,2901.9,2980.0
Иркутская область,2004,50.2,16.6,2524.1,2280.0
Кемеровская область — Кузбасс,2004,40.4,18,2833.0,4383.0
Новосибирская область,2004,39.4,15.4,2666.0,844.0
Омская область,2004,51.3,15,2034.1,1105.0
Томская область,2004,50.8,14.1,1029.9,2525.0
Республика Бурятия,2004,28.7,15.3,971.0,259.0
Республика Саха (Якутия),2004,30.6,10.2,953.2,1188.0
Забайкальский край,2004,33.9,17.1,1132.8,584.0
Камчатский край,2004,52.0,12.4,343.9,24.0
Приморский край,2004,53.1,15.8,2028.4,2058.0
Хабаровский край,2004,45.8,16.2,1396.8,1324.0
Амурская область,2004,40.7,17.4,874.0,848.0
Магаданская область,2004,67.5,13.5,173.9,351.0
Сахалинская область,2004,58.5,16.2,529.8,273.0
Еврейская автономная область,2004,53.2,17.2,185.8,13.0
Чукотский автономный округ,2004,50.1,12,51.8,165.0
Белгородская область,2005,40.1,16,1511.7,1618.0
Брянская область,2005,33.3,19.8,1327.7,60.0
Владимирская область,2005,42,20.2,1486.5,338.0
Воронежская область,2005,23.2,18.5,2360.9,2524.0
Ивановская область,2005,29.1,22,1101.8,196.0
Калужская область,2005,31.1,19.1,1023.3,145.0
Костромская область,2005,32.3,21.3,699.8,188.0
Курская область,2005,32.5,19.8,1177.6,6046.0
Липецкая область,2005,28.5,17.7,1193.9,2042.0
Московская область,2005,27.1,17.1,6783.8,3419.0
Орловская область,2005,35.5,18.8,822.1,362.0
Рязанская область,2005,51.7,20.2,1188.8,2182.0
Смоленская область,2005,41.5,21.2,1025.4,4713.0
Тамбовская область,2005,24.3,19.3,1138.6,254.0
Тверская область,2005,37.2,23,1415.3,2492.0
Тульская область,2005,30.6,21.8,1615.2,2884.0
Ярославская область,2005,39.2,20.1,1312.8,621.0
г. Москва,2005,30.8,11.9,10923.8,5860.0
Республика Карелия,2005,56.5,18.5,676.0,995.0
Республика Коми,2005,59.6,15.5,963.0,1336.0
Архангельская область,2005,55,17.1,1281.8,841.0
Ненецкий автономный округ,2005,75.4,12.2,41.9,2.6
Вологодская область,2005,40.7,18.8,1234.9,3614.0
Калининградская область,2005,43,18.2,936.6,173.0
Ленинградская область,2005,25.6,19.9,1685.4,1413.0
Мурманская область,2005,41,13.8,839.4,1006.0
Новгородская область,2005,32.9,22.5,665.6,560.0
Псковская область,2005,24.1,24.6,720.8,12.0
г. Санкт-Петербург,2005,49.3,15.6,4712.9,676.0
Республика Адыгея (Адыгея),2005,27.5,15.2,441.0,29.0
Республика Калмыкия,2005,27,11.4,293.5,1.0
Краснодарский край,2005,25.7,15.6,5127.3,1195.0
Астраханская область,2005,31.2,15.4,1002.5,295.0
Волгоградская область,2005,37.8,15.7,2640.4,1866.0
Ростовская область,2005,24.7,15.8,4332.4,2014.0
Республика Дагестан,2005,42.5,5.8,2692.6,22.0
Республика Ингушетия,2005,43.2,4.3,417.4,27.0
Кабардино-Балкарская Республика,2005,13.4,10.4,866.2,16.0
Карачаево-Черкесская Республика,2005,32,11.3,454.5,62.0
Республика Северная Осетия — Алания,2005,18.7,12.2,706.9,63.0
Чеченская Республика,2005,…,5.1,1152.3,0.0
Ставропольский край,2005,23.4,14.2,2746.9,987.0
Республика Башкортостан,2005,33.9,14.2,4066.3,5191.0
Республика Марий Эл,2005,38.5,17.1,713.4,167.0
Республика Мордовия,2005,35.5,17.1,864.7,266.0
Республика Татарстан (Татарстан),2005,33.6,13.8,3761.6,4907.0
Удмуртская Республика,2005,52.8,15.5,1545.8,422.0
Чувашская Республика — Чувашия,2005,43.6,15.3,1278.9,421.0
Пермский край,2005,54.9,18.1,2718.8,2012.0
Кировская область,2005,39.7,19.3,1418.7,1056.0
Нижегородская область,2005,29.4,20,3414.3,1655.0
Оренбургская область,2005,39,15.7,2093.5,1699.0
Пензенская область,2005,37.2,18.1,1420.1,75.0
Самарская область,2005,38.9,16.1,3225.6,3995.0
Саратовская область,2005,30.9,16.9,2591.2,6101.0
Ульяновская область,2005,57,16.9,1340.3,926.0
Курганская область,2005,36.3,17.9,961.8,354.0
Свердловская область,2005,41,16.8,4356.4,12488.0
Тюменская область,2005,49.8,9.9,3293.8,9763.0
Ханты-Мансийский автономный округ — Югра,2005,52.4,7.1,1467.8,8637.0
Ямало-Ненецкий автономный округ,2005,61.9,6,517.4,57.0
Челябинская область,2005,45.5,16.4,3516.7,8229.0
Республика Алтай,2005,68.1,15.7,201.7,11.0
Республика Тыва,2005,55.2,14.3,302.9,27.0
Республика Хакасия,2005,49.9,17.6,533.8,322.0
Алтайский край,2005,39.6,16.9,2503.5,964.0
Красноярский край,2005,42.7,15.8,2869.3,3064.0
Иркутская область,2005,51.2,17.2,2492.2,2135.0
Кемеровская область — Кузбасс,2005,44.3,18.9,2805.9,4582.0
Новосибирская область,2005,37.4,16.1,2654.9,922.0
Омская область,2005,52.1,15.6,2016.3,1052.0
Томская область,2005,44.6,14.6,1024.3,2468.0
Республика Бурятия,2005,24.1,15.6,966.9,271.0
Республика Саха (Якутия),2005,32.6,10.2,954.4,1136.0
Забайкальский край,2005,35.1,17.3,1123.3,667.0
Камчатский край,2005,46.7,12.9,336.6,27.0
Приморский край,2005,44.6,16.3,2006.5,2058.0
Хабаровский край,2005,42,16.6,1376.3,1299.0
Амурская область,2005,39.5,17.2,861.0,819.0
Магаданская область,2005,66,13.7,170.4,307.0
Сахалинская область,2005,50,17.5,521.1,272.0
Еврейская автономная область,2005,48.2,18.3,181.7,13.0
Чукотский автономный округ,2005,56.8,11.5,52.4,177.0
Белгородская область,2006,41.0,15.3,1514.2,1626.0
Брянская область,2006,30.7,18.7,1312.7,116.0
Владимирская область,2006,42.9,19.1,1475.9,330.0
Воронежская область,2006,24.0,17.7,2353.8,3618.0
Ивановская область,2006,30.4,19.9,1089.8,198.0
Калужская область,2006,29.0,17.5,1020.2,144.0
Костромская область,2006,31.5,19.2,689.8,277.0
Курская область,2006,31.1,19.2,1161.6,5463.0
Липецкая область,2006,30.5,17.2,1190.4,2052.0
Московская область,2006,25.5,16.6,6846.8,3789.0
Орловская область,2006,34.3,18.2,811.4,391.0
Рязанская область,2006,47.5,19.1,1181.5,2378.0
