,Регион,Год,V_сточ_вод_млн_м3,Коэф_смерт_насел,Числ_насел,Оборот_вод_млн_м3,Инвест_в_ООС_норм
0,Алтайский край,2000,31.0,14.3,2641.1,1216.0,3.7798907926944074
1,Алтайский край,2001,34.0,14.7,2621.1,998.0,1.804075377014408
2,Алтайский край,2002,36.0,15.7,2602.6,983.0,0.9228340769881025
3,Алтайский край,2003,36.0,15.9,2572.0,984.0,0.5647710611461537
4,Алтайский край,2004,36.0,15.9,2539.4,969.0,0.33324480475093715
5,Алтайский край,2005,34.0,16.9,2503.5,964.0,1.1385960567897742
6,Алтайский край,2006,27.0,15.5,2473.0,985.0,0.7635902318904785
7,Алтайский край,2007,26.0,15.2,2453.5,1001.0,1.0431090241068082
8,Алтайский край,2008,22.0,15.3,2438.9,1020.0,0.8151826672851523
9,Алтайский край,2009,17.0,14.7,2430.7,998.0,1.1587333917390432
10,Алтайский край,2010,15.0,15,2417.3,859.0,0.6208041117105375
11,Алтайский край,2011,12.0,14.6,2396.8,860.0,0.3786608245628509
12,Алтайский край,2012,8.04,14.7,2378.0,860.02,2.302742691503846
13,Алтайский край,2013,8.07,14.3,2359.5,770.38,3.710203760877825
14,Алтайский край,2014,10.73,14.4,2343.4,827.47,1.3158356123596993
15,Алтайский край,2015,16.24,14.4,2325.0,908.24,1.4732263544845874
16,Алтайский край,2016,18.05,14.4,2303.6,868.36,1.8963921025767208
17,Алтайский край,2017,17.34,14.4,2277.7,814.78,0.32488102944601444
18,Алтайский край,2018,17.33,14.7,2250.1,816.65,2.5873576194866494
19,Алтайский край,2019,32.27,14.6,2224.1,812.84,1.1739721061708415
20,Алтайский край,2020,13.18,17.2,2193.0,771.76,1.0440393224691822
21,Алтайский край,2021,13.51,20.1,2155.0,796.11,0.5987647528304059
22,Алтайский край,2022,13.3,15.8,2130.9,831.42,0.6090925956675992
23,Алтайский край,2023,13.0,14.4,2115.3,817.0,2.1942101344904317
24,Амурская область,2000,94.0,14.6,923.0,914.0,3.1321821608804035
25,Амурская область,2001,103.0,15.2,911.4,865.0,2.695069239593576
26,Амурская область,2002,95.0,16.1,901.0,875.0,5.280428719855635
27,Амурская область,2003,91.0,16.6,887.8,832.0,5.351664194857509
28,Амурская область,2004,99.0,17.4,874.0,848.0,2.8380300761709694
29,Амурская область,2005,100.0,17.2,861.0,819.0,1.648530077594417
30,Амурская область,2006,90.0,15.9,850.5,770.0,4.0624076541498715
31,Амурская область,2007,84.0,14.7,844.3,774.0,7.961653955039853
32,Амурская область,2008,86.0,15.6,838.9,759.0,4.91301932067888
33,Амурская область,2009,83.0,15.1,834.9,709.0,8.398628626787172
34,Амурская область,2010,82.0,15.3,828.7,719.0,1.445126073369687
35,Амурская область,2011,79.0,14.8,820.6,755.0,7.144839635193523
36,Амурская область,2012,78.02,14.8,815.2,751.85,17.106218595675546
37,Амурская область,2013,76.97,13.9,808.7,784.84,14.212881862393564
38,Амурская область,2014,44.62,13.9,806.5,811.51,5.85892016048058
39,Амурская область,2015,72.77,13.9,801.5,810.9,5.822855544227349
40,Амурская область,2016,73.77,13.8,796.8,817.64,5.70772121224343
41,Амурская область,2017,67.38,13.4,792.7,945.89,10.704737266069703
42,Амурская область,2018,66.82,13.5,786.6,1033.0,10.959267354631432
43,Амурская область,2019,65.05,14.2,782.7,1776.71,6.1528366309654885
44,Амурская область,2020,65.81,16.3,773.7,1796.88,16.228628976169414
45,Амурская область,2021,66.51,18.7,763.6,1687.05,13.716704804824193
46,Амурская область,2022,62.76,14.8,756.2,2618.91,5.810103151958317
47,Амурская область,2023,60.0,14.1,750.1,1327.0,3.632857715652
48,Архангельская область,2000,540.0,16.3,1369.1,629.0,34.7485370738269
49,Архангельская область,2001,537.0,16.2,1350.5,682.0,33.839544909660745
50,Архангельская область,2002,513.0,17.5,1332.7,731.0,24.398887189177838
51,Архангельская область,2003,477.0,18,1315.5,686.0,6.739745053585889
52,Архангельская область,2004,454.0,17.6,1299.2,824.0,8.653819262366719
53,Архангельская область,2005,464.0,17.1,1281.8,841.0,30.947597298938256
54,Архангельская область,2006,464.0,15.9,1266.7,861.0,63.603036769853986
55,Архангельская область,2007,475.0,14.9,1257.2,855.0,11.063665387060407
56,Архангельская область,2008,475.0,14.8,1246.2,875.0,14.131400371697527
57,Архангельская область,2009,413.0,14.5,1237.5,753.0,8.788487357900129
58,Архангельская область,2010,415.0,14.6,1224.9,809.0,5.410313540626729
59,Архангельская область,2011,375.0,13.9,1204.1,813.0,6.662877646057245
60,Архангельская область,2012,364.27,13.8,1183.6,848.04,2.5715416237851287
61,Архангельская область,2013,341.03,13.6,1163.7,836.92,11.787982499956412
62,Архангельская область,2014,335.86,13.6,1146.1,854.29,5.676242073404735
63,Архангельская область,2015,329.79,14.0,1127.8,841.49,7.241126319148394
64,Архангельская область,2016,328.66,14.1,1110.6,842.13,7.866972513658078
65,Архангельская область,2017,325.0,13.7,1091.1,909.69,18.39812725823829
66,Архангельская область,2018,322.78,13.9,1071.6,912.11,4.642245179689781
67,Архангельская область,2019,322.87,13.9,1055.5,866.23,3.7135068913587252
68,Архангельская область,2020,320.6300000000001,15.9,1037.3,936.42,25.12293958374271
69,Архангельская область,2021,292.68,19.3,1016.0,935.15,27.947193791985686
70,Архангельская область,2022,277.51,15.5,1005.7,915.11,4.139685823226184
71,Архангельская область,2023,247.0,14.1,998.1,817.0,3.0021247664096253
72,Астраханская область,2000,84.0,14.3,1009.3,292.0,1.5881162482171884
73,Астраханская область,2001,83.0,14.6,1005.5,289.0,24.575838980241244
74,Астраханская область,2002,78.0,15.3,1004.8,314.0,3.9606390063154198
75,Астраханская область,2003,71.0,15.5,1006.1,313.0,6.18336432437554
76,Астраханская область,2004,71.0,14.9,1006.5,308.0,5.0533318991587155
77,Астраханская область,2005,68.0,15.4,1002.5,295.0,3.4688767332690693
78,Астраханская область,2006,73.0,14.6,1001.3,267.0,6.808150662479248
79,Астраханская область,2007,72.0,14,1005.9,264.0,48.719937982765906
80,Астраханская область,2008,73.0,13.5,1009.9,265.0,30.70636825300866
81,Астраханская область,2009,71.0,13.3,1011.1,271.0,15.750032361689115
82,Астраханская область,2010,69.0,13.5,1009.8,261.0,44.907363440100276
83,Астраханская область,2011,71.0,13,1011.5,243.0,26.102228870224533
84,Астраханская область,2012,55.67,12.7,1007.5,71.89,110.7260043194896
85,Астраханская область,2013,52.4,12.3,1007.4,229.23,45.57445227041321
86,Астраханская область,2014,50.15,12.8,1009.2,245.63,3.6283825589490797
87,Астраханская область,2015,40.74,12.5,1003.9,512.78,6.130806725348507
88,Астраханская область,2016,51.16,12.2,1001.5,492.67,2.330085751022971
89,Астраханская область,2017,48.54,11.6,997.4,492.38,1.6603045624036394
90,Астраханская область,2018,49.09,11.8,991.1,492.2,0.6066677025603839
91,Астраханская область,2019,36.39,11.6,979.9,358.5,3.9295912073421038
92,Астраханская область,2020,30.26,14.0,969.0,387.87,1.381389223619176
93,Астраханская область,2021,34.13,16.9,957.8,471.42,0.549019495590796
94,Астраханская область,2022,35.11,12.7,950.6,503.19,1.053330637880203
95,Астраханская область,2023,85.0,11.8,946.4,1860.0,0.24684516231648398
96,Белгородская область,2000,45.0,15.5,1507.0,1559.0,2.7618296117600925
97,Белгородская область,2001,13.0,16.1,1508.1,1575.0,3.306096296088647
98,Белгородская область,2002,6.0,16.2,1511.9,1589.0,2.0036087198979557
99,Белгородская область,2003,10.0,16.1,1513.9,1606.0,1.062422341873262
100,Белгородская область,2004,11.0,16.2,1511.7,1610.0,1.5241680527719337
101,Белгородская область,2005,11.0,16,1511.7,1618.0,4.269938574142101
102,Белгородская область,2006,11.0,15.3,1514.2,1626.0,4.336370767939586
103,Белгородская область,2007,8.0,14.8,1520.1,1675.0,3.1230568073605998
104,Белгородская область,2008,11.0,14.7,1526.3,1533.0,5.991368658515509
105,Белгородская область,2009,49.0,14.4,1531.8,1421.0,2.892783295815641
106,Белгородская область,2010,77.0,14.4,1532.4,1596.0,3.7354974653668753
107,Белгородская область,2011,72.0,14.1,1536.6,1691.0,6.567547088668513
108,Белгородская область,2012,70.88,14,1541.9,1630.71,21.625967613853426
109,Белгородская область,2013,71.1,13.8,1545.5,1654.6,10.654843776801105
110,Белгородская область,2014,66.83,14.0,1549.8,1655.7,5.574805580384772
