,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС_тыс_руб,ВРП_млн_руб,ВРП_на_душу_руб,Индексы_производства_продукции_СХ_%,Доля_городского_населения_%,Использование_свеж_воды_млн_м3,Индекс_промыш_производства_%,Cluster
0,Алтайский край,2000,31.0,176660.0,46736.8,17660.5,122.0,52.8,569.0,109.2,1
1,Алтайский край,2001,34.0,111590.0,61854.4,23509.0,104.5,53.1,599.0,109.4,1
2,Алтайский край,2002,36.0,67466.0,73107.4,27991.2,103.1,53.2,563.0,100.1,1
3,Алтайский край,2003,36.0,50114.0,88733.3,34295.8,100.8,53.5,516.0,105.5,1
4,Алтайский край,2004,36.0,38270.0,114840.5,44934.9,99.5,53.7,488.0,102.6,1
5,Алтайский край,2005,34.0,154492.0,135686.4,53812.4,91.1,54.0,451.0,96.8,1
6,Алтайский край,2006,27.0,132720.0,173810.5,69852.0,109.4,54.2,455.0,110.3,1
7,Алтайский край,2007,26.0,233201.0,223563.4,90759.9,108.6,54.3,471.0,113.5,1
8,Алтайский край,2008,22.0,211412.0,259343.1,106019.5,93.2,54.5,481.0,103.3,1
9,Алтайский край,2009,17.0,307775.0,265613.3,109088.7,118.3,54.3,461.0,92.0,1
10,Алтайский край,2010,15.0,188042.0,302900.7,124955.8,93.5,54.8,340.0,122.0,1
11,Алтайский край,2011,12.0,125760.0,332117.8,137975.9,101.2,55.2,408.0,104.5,1
12,Алтайский край,2012,8.04,849701.0,368995.2,154560.6,86.4,55.6,406.93,104.4,1
13,Алтайский край,2013,8.07,1543854.0,416110.3,175666.0,121.9,55.9,404.84,101.3,1
14,Алтайский край,2014,10.73,586894.0,446023.8,189679.2,85.8,56.2,410.61,98.9,1
15,Алтайский край,2015,16.24,718792.0,487903.3,209023.2,106.5,56.5,386.73,100.1,1
16,Алтайский край,2016,18.05,1009642.0,532401.5,230047.1,112.0,56.7,376.43,102.5,1
17,Алтайский край,2017,17.34,177158.59999999998,545303.0,238056.6,101.8,56.9,364.05,103.7,1
18,Алтайский край,2018,17.33,1499996.0,579740.5,256081.7,103.3,57.2,349.42,100.8,1
19,Алтайский край,2019,32.27,737426.0,628146.1,280785.0,98.8,57.6,344.55,101.9,1
20,Алтайский край,2020,13.18,693377.0,664129.2,300706.5,96.7,57.9,353.27,101.1,1
21,Алтайский край,2021,13.51,520729.0,869672.1,400038.7,118.4,58.2,362.59,101.7,1
